5,20,20
wall,0,0,group44/resources/WallCounter.png
wall,1,0,group44/resources/WallCounter.png
wall,2,0,group44/resources/WallCounter.png
wall,3,0,group44/resources/WallCounter.png
wall,4,0,group44/resources/WallCounter.png
wall,5,0,group44/resources/WallCounter.png
wall,6,0,group44/resources/WallCounter.png
wall,7,0,group44/resources/WallCounter.png
wall,8,0,group44/resources/WallCounter.png
wall,9,0,group44/resources/WallCounter.png
wall,10,0,group44/resources/WallCounter.png
wall,11,0,group44/resources/WallCounter.png
wall,12,0,group44/resources/WallCounter.png
wall,13,0,group44/resources/WallCounter.png
wall,14,0,group44/resources/WallCounter.png
wall,15,0,group44/resources/WallCounter.png
wall,16,0,group44/resources/WallCounter.png
wall,17,0,group44/resources/WallCounter.png
wall,18,0,group44/resources/WallCounter.png
wall,19,0,group44/resources/WallCounter.png
wall,0,19,group44/resources/WallCounter.png
wall,1,19,group44/resources/WallCounter.png
wall,2,19,group44/resources/WallCounter.png
wall,3,19,group44/resources/WallCounter.png
wall,4,19,group44/resources/WallCounter.png
wall,5,19,group44/resources/WallCounter.png
wall,6,19,group44/resources/WallCounter.png
wall,7,19,group44/resources/WallCounter.png
wall,8,19,group44/resources/WallCounter.png
wall,9,19,group44/resources/WallCounter.png
wall,10,19,group44/resources/WallCounter.png
wall,11,19,group44/resources/WallCounter.png
wall,12,19,group44/resources/WallCounter.png
wall,13,19,group44/resources/WallCounter.png
wall,14,19,group44/resources/WallCounter.png
wall,15,19,group44/resources/WallCounter.png
wall,16,19,group44/resources/WallCounter.png
wall,17,19,group44/resources/WallCounter.png
wall,18,19,group44/resources/WallCounter.png
wall,19,19,group44/resources/WallCounter.png
wall,0,1,group44/resources/WallCounter.png
wall,0,2,group44/resources/WallCounter.png
wall,0,3,group44/resources/WallCounter.png
wall,0,4,group44/resources/WallCounter.png
wall,0,5,group44/resources/WallCounter.png
wall,0,6,group44/resources/WallCounter.png
wall,0,7,group44/resources/WallCounter.png
wall,0,8,group44/resources/WallCounter.png
wall,0,9,group44/resources/WallCounter.png
wall,0,10,group44/resources/WallCounter.png
wall,0,11,group44/resources/WallCounter.png
wall,0,12,group44/resources/WallCounter.png
wall,0,13,group44/resources/WallCounter.png
wall,0,14,group44/resources/WallCounter.png
wall,0,15,group44/resources/WallCounter.png
wall,0,16,group44/resources/WallCounter.png
wall,0,17,group44/resources/WallCounter.png
wall,0,18,group44/resources/WallCounter.png
wall,19,1,group44/resources/WallCounter.png
wall,19,2,group44/resources/WallCounter.png
wall,19,3,group44/resources/WallCounter.png
wall,19,4,group44/resources/WallCounter.png
wall,19,5,group44/resources/WallCounter.png
wall,19,6,group44/resources/WallCounter.png
wall,19,7,group44/resources/WallCounter.png
wall,19,8,group44/resources/WallCounter.png
wall,19,9,group44/resources/WallCounter.png
wall,19,10,group44/resources/WallCounter.png
wall,19,11,group44/resources/WallCounter.png
wall,19,12,group44/resources/WallCounter.png
wall,19,13,group44/resources/WallCounter.png
wall,19,14,group44/resources/WallCounter.png
